sample_name,control_ED,case_ED,FrEIA_score
EE87863.sortByCoord,0.01720164321735102,0.011720909529339851,1.4676031048863372
EE87864.sortByCoord,0.014558846845099878,0.004861639604177937,2.994637206877382
EE87865.sortByCoord,0.01465272453704445,0.005502473219618172,2.662934275591301
EE87866.sortByCoord,0.01579960404413217,0.00839439294283322,1.882161599025598
EE87867.sortByCoord,0.01433890188673014,0.005807854337534091,2.4688811139878166
EE87868.sortByCoord,0.01564932011180611,0.0076142089039276046,2.0552785337599273
EE87869.sortByCoord,0.013962340371172777,0.00434937962232297,3.210191241875456
EE87870.sortByCoord,0.015667609927501595,0.005059097584161465,3.096917912109906
EE87871.sortByCoord,0.01511661129748428,0.006257578780363977,2.4157284835022104
EE87872.sortByCoord,0.014432322279756918,0.006553963345161879,2.202075525858842
